clean,corrupted,group,plural
The novels that the dancers love,The novel that the dancers love,ML-obj_rel_across_inanim_all,1
The senator the architects admire,The senators the architects admire,ML-obj_rel_no_comp_across_anim_all,0
The manager across from the chefs,The managers across from the chefs,ML-prep_anim_all,0
The pilot that the assistant loves,The pilots that the assistant loves,ML-obj_rel_across_anim_all,0
The senator across from the dancer,The senators across from the dancer,ML-prep_anim_all,0
The surgeon that loves the parents,The surgeons that love the parents,ML-subj_rel_all,0
The movie the minister admires,The movies the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
The pilot that likes the guard,The pilots that like the guard,ML-subj_rel_all,0
The picture that the architect hates,The pictures that the architect hates,ML-obj_rel_across_inanim_all,0
The officers know many different foreign languages and,The officer knows many different foreign languages and,ML-long_vp_coord_all,1
The movie the parent hates,The movies the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
The farmers that the dancer,The farmers that the dancers,ML-obj_rel_within_anim_all,0
The painting that the skater hates,The paintings that the skater hates,ML-obj_rel_across_inanim_all,0
The mechanics thought the author,The mechanics thought the authors,ML-sent_comp_all,0
The farmers that the architects,The farmers that the architect,ML-obj_rel_within_anim_all,1
The pilot the architects admire,The pilots the architects admire,ML-obj_rel_no_comp_across_anim_all,0
The consultants that the assistant loves,The consultant that the assistant loves,ML-obj_rel_across_anim_all,1
The officer that the taxi drivers,The officer that the taxi driver,ML-obj_rel_within_anim_all,1
The officer the dancer likes,The officers the dancer likes,ML-obj_rel_no_comp_across_anim_all,0
The senator near the ministers,The senators near the ministers,ML-prep_anim_all,0
The surgeon behind the guard,The surgeons behind the guard,ML-prep_anim_all,0
The book that the guard likes,The books that the guard likes,ML-obj_rel_across_inanim_all,0
The farmer that likes the executive,The farmers that like the executive,ML-subj_rel_all,0
The senator that the architects,The senator that the architect,ML-obj_rel_within_anim_all,1
The banker knew the customer,The banker knew the customers,ML-sent_comp_all,0
The managers next to the skaters,The manager next to the skaters,ML-prep_anim_all,1
The customer that the parent likes,The customers that the parent likes,ML-obj_rel_across_anim_all,0
The poems that the assistant hates,The poem that the assistant hates,ML-obj_rel_across_inanim_all,1
The surgeons that the architects,The surgeons that the architect,ML-obj_rel_within_anim_all,1
The surgeons the parent admires,The surgeon the parent admires,ML-obj_rel_no_comp_across_anim_all,1
The consultant that the skaters,The consultant that the skater,ML-obj_rel_within_anim_all,1
The farmer that hates the taxi drivers,The farmers that hate the taxi drivers,ML-subj_rel_all,0
The novel that the skater admires,The novels that the skater admires,ML-obj_rel_across_inanim_all,0
The farmers across from the ministers,The farmer across from the ministers,ML-prep_anim_all,1
The books that the chef likes,The book that the chef likes,ML-obj_rel_across_inanim_all,1
The pilots behind the taxi driver,The pilot behind the taxi driver,ML-prep_anim_all,1
The farmer the taxi drivers love,The farmers the taxi drivers love,ML-obj_rel_no_comp_across_anim_all,0
The bankers thought the customers,The bankers thought the customer,ML-sent_comp_all,1
The officers next to the dancers,The officer next to the dancers,ML-prep_anim_all,1
The pilot near the chefs,The pilots near the chefs,ML-prep_anim_all,0
The novel by the executive,The novels by the executive,ML-prep_inanim_all,0
The shows that the parent admires,The show that the parent admires,ML-obj_rel_across_inanim_all,1
The consultants across from the guard,The consultant across from the guard,ML-prep_anim_all,1
The show the dancer admires,The shows the dancer admires,ML-obj_rel_no_comp_across_inanim_all,0
The farmers across from the architects,The farmer across from the architects,ML-prep_anim_all,1
The movies from the executive,The movie from the executive,ML-prep_inanim_all,1
The senators the taxi driver,The senators the taxi drivers,ML-obj_rel_no_comp_within_anim_all,0
The authors the architects love,The author the architects love,ML-obj_rel_no_comp_across_anim_all,1
The senators that the executives,The senators that the executive,ML-obj_rel_within_anim_all,1
The senator that loves the executive,The senators that love the executive,ML-subj_rel_all,0
The movies the guard,The movies the guards,ML-obj_rel_no_comp_within_inanim_all,0
The consultant that loves the architects,The consultants that love the architects,ML-subj_rel_all,0
The manager that the parent hates,The managers that the parent hates,ML-obj_rel_across_anim_all,0
The novel that the skaters,The novel that the skater,ML-obj_rel_within_inanim_all,1
The farmer that the guards hate,The farmers that the guards hate,ML-obj_rel_across_anim_all,0
The officer the ministers love,The officers the ministers love,ML-obj_rel_no_comp_across_anim_all,0
The pilots that the assistant admires,The pilot that the assistant admires,ML-obj_rel_across_anim_all,1
The pictures from the assistant,The picture from the assistant,ML-prep_inanim_all,1
The banker said the senators,The banker said the senator,ML-sent_comp_all,1
The managers the dancer admires,The manager the dancer admires,ML-obj_rel_no_comp_across_anim_all,1
The teacher that the parents love,The teachers that the parents love,ML-obj_rel_across_anim_all,0
The banker said the officers,The banker said the officer,ML-sent_comp_all,1
The farmer the executive,The farmer the executives,ML-obj_rel_no_comp_within_anim_all,0
The movies that the skaters love,The movie that the skaters love,ML-obj_rel_across_inanim_all,1
The officers that like the parents,The officer that likes the parents,ML-subj_rel_all,1
The songs that the guard likes,The song that the guard likes,ML-obj_rel_across_inanim_all,1
The show from the architect,The shows from the architect,ML-prep_inanim_all,0
The poems the executive,The poems the executives,ML-obj_rel_no_comp_within_inanim_all,0
The games by the assistants,The game by the assistants,ML-prep_inanim_all,1
The books from the executives,The book from the executives,ML-prep_inanim_all,1
The pictures the skaters admire,The picture the skaters admire,ML-obj_rel_no_comp_across_inanim_all,1
The customers next to the guard,The customer next to the guard,ML-prep_anim_all,1
The pilots across from the minister,The pilot across from the minister,ML-prep_anim_all,1
The poem that the dancers love,The poems that the dancers love,ML-obj_rel_across_inanim_all,0
The show that the executive loves,The shows that the executive loves,ML-obj_rel_across_inanim_all,0
The officers the chef likes,The officer the chef likes,ML-obj_rel_no_comp_across_anim_all,1
The customers the executive loves,The customer the executive loves,ML-obj_rel_no_comp_across_anim_all,1
The surgeon that the architect loves,The surgeons that the architect loves,ML-obj_rel_across_anim_all,0
The officers to the side of the guard,The officer to the side of the guard,ML-prep_anim_all,1
The book the parent admires,The books the parent admires,ML-obj_rel_no_comp_across_inanim_all,0
The game by the executive,The games by the executive,ML-prep_inanim_all,0
The pilot next to the architects,The pilots next to the architects,ML-prep_anim_all,0
The pilots the taxi drivers like,The pilot the taxi drivers like,ML-obj_rel_no_comp_across_anim_all,1
The game by the taxi driver,The games by the taxi driver,ML-prep_inanim_all,0
The farmers that the assistant,The farmers that the assistants,ML-obj_rel_within_anim_all,0
The teacher that loves the chef,The teachers that love the chef,ML-subj_rel_all,0
The picture the minister likes,The pictures the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
The author the minister loves,The authors the minister loves,ML-obj_rel_no_comp_across_anim_all,0
The consultant in front of the ministers,The consultants in front of the ministers,ML-prep_anim_all,0
The customer that the chefs hate,The customers that the chefs hate,ML-obj_rel_across_anim_all,0
The painting from the skater,The paintings from the skater,ML-prep_inanim_all,0
The consultants in front of the guards,The consultant in front of the guards,ML-prep_anim_all,1
The picture the skater,The picture the skaters,ML-obj_rel_no_comp_within_inanim_all,0
The consultant that the guards admire,The consultants that the guards admire,ML-obj_rel_across_anim_all,0
The consultants that the parent,The consultants that the parents,ML-obj_rel_within_anim_all,0
The books from the assistant,The book from the assistant,ML-prep_inanim_all,1
The pilots that the assistants,The pilots that the assistant,ML-obj_rel_within_anim_all,1
The teachers that the chef admires,The teacher that the chef admires,ML-obj_rel_across_anim_all,1
The manager across from the taxi drivers,The managers across from the taxi drivers,ML-prep_anim_all,0
The teacher,The teachers,ML-simple_agrmt_all,0
The farmer across from the chef,The farmers across from the chef,ML-prep_anim_all,0
The author that loves the dancers,The authors that love the dancers,ML-subj_rel_all,0
The paintings that the chef hates,The painting that the chef hates,ML-obj_rel_across_inanim_all,1
The game that the chefs admire,The games that the chefs admire,ML-obj_rel_across_inanim_all,0
The surgeons that the taxi driver admires,The surgeon that the taxi driver admires,ML-obj_rel_across_anim_all,1
The shows that the executives love,The show that the executives love,ML-obj_rel_across_inanim_all,1
The farmer the skater hates,The farmers the skater hates,ML-obj_rel_no_comp_across_anim_all,0
The authors the minister admires,The author the minister admires,ML-obj_rel_no_comp_across_anim_all,1
The surgeons that the ministers admire,The surgeon that the ministers admire,ML-obj_rel_across_anim_all,1
The officers that the skaters,The officers that the skater,ML-obj_rel_within_anim_all,1
The pilot the parents admire,The pilots the parents admire,ML-obj_rel_no_comp_across_anim_all,0
The show the minister likes,The shows the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
The officers near the chefs,The officer near the chefs,ML-prep_anim_all,1
The farmer the executives hate,The farmers the executives hate,ML-obj_rel_no_comp_across_anim_all,0
The customers that the skater hates,The customer that the skater hates,ML-obj_rel_across_anim_all,1
The customers the ministers hate,The customer the ministers hate,ML-obj_rel_no_comp_across_anim_all,1
The poems that the dancer,The poems that the dancers,ML-obj_rel_within_inanim_all,0
The surgeon the skaters hate,The surgeons the skaters hate,ML-obj_rel_no_comp_across_anim_all,0
The picture that the assistant hates,The pictures that the assistant hates,ML-obj_rel_across_inanim_all,0
The song the chef admires,The songs the chef admires,ML-obj_rel_no_comp_across_inanim_all,0
The senator next to the guard,The senators next to the guard,ML-prep_anim_all,0
The surgeon next to the skater,The surgeons next to the skater,ML-prep_anim_all,0
The consultant that loves the architect,The consultants that love the architect,ML-subj_rel_all,0
The surgeons next to the assistants,The surgeon next to the assistants,ML-prep_anim_all,1
The song that the executives love,The songs that the executives love,ML-obj_rel_across_inanim_all,0
The managers across from the skater,The manager across from the skater,ML-prep_anim_all,1
The consultant that the parents love,The consultants that the parents love,ML-obj_rel_across_anim_all,0
The painting the skater loves,The paintings the skater loves,ML-obj_rel_no_comp_across_inanim_all,0
The officer near the architect,The officers near the architect,ML-prep_anim_all,0
The senator that hates the taxi driver,The senators that hate the taxi driver,ML-subj_rel_all,0
The games the guard loves,The game the guard loves,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon that the parent likes,The surgeons that the parent likes,ML-obj_rel_across_anim_all,0
The movie that the executive hates,The movies that the executive hates,ML-obj_rel_across_inanim_all,0
The farmer the skater,The farmer the skaters,ML-obj_rel_no_comp_within_anim_all,0
The managers that the chef likes,The manager that the chef likes,ML-obj_rel_across_anim_all,1
The show that the ministers love,The shows that the ministers love,ML-obj_rel_across_inanim_all,0
The author that the chef likes,The authors that the chef likes,ML-obj_rel_across_anim_all,0
The surgeon the architects hate,The surgeons the architects hate,ML-obj_rel_no_comp_across_anim_all,0
The paintings the executives love,The painting the executives love,ML-obj_rel_no_comp_across_inanim_all,1
The officer that hates the executive,The officers that hate the executive,ML-subj_rel_all,0
The games that the executive admires,The game that the executive admires,ML-obj_rel_across_inanim_all,1
The poems the dancers admire,The poem the dancers admire,ML-obj_rel_no_comp_across_inanim_all,1
The officer that the skaters love,The officers that the skaters love,ML-obj_rel_across_anim_all,0
The picture that the dancer likes,The pictures that the dancer likes,ML-obj_rel_across_inanim_all,0
The officer that likes the parents,The officers that like the parents,ML-subj_rel_all,0
The books by the taxi drivers,The book by the taxi drivers,ML-prep_inanim_all,1
The senators that like the architects,The senator that likes the architects,ML-subj_rel_all,1
The farmers that like the chef,The farmer that likes the chef,ML-subj_rel_all,1
The poem from the ministers,The poems from the ministers,ML-prep_inanim_all,0
The movie the architect loves,The movies the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
The games that the taxi drivers,The games that the taxi driver,ML-obj_rel_within_inanim_all,1
The consultant that loves the parent,The consultants that love the parent,ML-subj_rel_all,0
The consultant behind the executive,The consultants behind the executive,ML-prep_anim_all,0
The pilot that loves the parent,The pilots that love the parent,ML-subj_rel_all,0
The consultants that the ministers like,The consultant that the ministers like,ML-obj_rel_across_anim_all,1
The books that the assistant loves,The book that the assistant loves,ML-obj_rel_across_inanim_all,1
The teachers the parent loves,The teacher the parent loves,ML-obj_rel_no_comp_across_anim_all,1
The teacher that the dancer hates,The teachers that the dancer hates,ML-obj_rel_across_anim_all,0
The pilot that the ministers,The pilot that the minister,ML-obj_rel_within_anim_all,1
The song that the assistants,The song that the assistant,ML-obj_rel_within_inanim_all,1
The consultants that the executive admires,The consultant that the executive admires,ML-obj_rel_across_anim_all,1
The senators that the parents,The senators that the parent,ML-obj_rel_within_anim_all,1
The teacher the parents love,The teachers the parents love,ML-obj_rel_no_comp_across_anim_all,0
The poems that the ministers admire,The poem that the ministers admire,ML-obj_rel_across_inanim_all,1
The authors the taxi drivers,The authors the taxi driver,ML-obj_rel_no_comp_within_anim_all,1
The surgeon to the side of the guards,The surgeons to the side of the guards,ML-prep_anim_all,0
The senator is old and,The senators are old and,ML-vp_coord_all,0
The teachers in front of the guards,The teacher in front of the guards,ML-prep_anim_all,1
The managers that like the chef,The manager that likes the chef,ML-subj_rel_all,1
The shows the guards,The shows the guard,ML-obj_rel_no_comp_within_inanim_all,1
The manager near the guard,The managers near the guard,ML-prep_anim_all,0
The pictures that the skater,The pictures that the skaters,ML-obj_rel_within_inanim_all,0
The surgeons that the chef loves,The surgeon that the chef loves,ML-obj_rel_across_anim_all,1
The teachers behind the architect,The teacher behind the architect,ML-prep_anim_all,1
The poems that the parents like,The poem that the parents like,ML-obj_rel_across_inanim_all,1
The novels that the architects love,The novel that the architects love,ML-obj_rel_across_inanim_all,1
The customers in front of the minister,The customer in front of the minister,ML-prep_anim_all,1
The shows the assistants like,The show the assistants like,ML-obj_rel_no_comp_across_inanim_all,1
The songs the executive,The songs the executives,ML-obj_rel_no_comp_within_inanim_all,0
The consultants the assistant,The consultants the assistants,ML-obj_rel_no_comp_within_anim_all,0
The pilots the minister loves,The pilot the minister loves,ML-obj_rel_no_comp_across_anim_all,1
The movies the executives admire,The movie the executives admire,ML-obj_rel_no_comp_across_inanim_all,1
The farmer that the skaters admire,The farmers that the skaters admire,ML-obj_rel_across_anim_all,0
The teacher that the executive loves,The teachers that the executive loves,ML-obj_rel_across_anim_all,0
The teacher in front of the chef,The teachers in front of the chef,ML-prep_anim_all,0
The movie the taxi drivers love,The movies the taxi drivers love,ML-obj_rel_no_comp_across_inanim_all,0
The customer that the assistants admire,The customers that the assistants admire,ML-obj_rel_across_anim_all,0
The senators that the skater,The senators that the skaters,ML-obj_rel_within_anim_all,0
The show by the architect,The shows by the architect,ML-prep_inanim_all,0
The authors the ministers love,The author the ministers love,ML-obj_rel_no_comp_across_anim_all,1
The author that the taxi driver likes,The authors that the taxi driver likes,ML-obj_rel_across_anim_all,0
The senator in front of the parents,The senators in front of the parents,ML-prep_anim_all,0
The games the architect loves,The game the architect loves,ML-obj_rel_no_comp_across_inanim_all,1
The authors that the guards,The authors that the guard,ML-obj_rel_within_anim_all,1
The surgeons that the skaters,The surgeons that the skater,ML-obj_rel_within_anim_all,1
The teachers behind the taxi driver,The teacher behind the taxi driver,ML-prep_anim_all,1
The customer the minister,The customer the ministers,ML-obj_rel_no_comp_within_anim_all,0
The novel that the taxi drivers,The novel that the taxi driver,ML-obj_rel_within_inanim_all,1
The manager to the side of the ministers,The managers to the side of the ministers,ML-prep_anim_all,0
The managers near the skater,The manager near the skater,ML-prep_anim_all,1
The novels the taxi driver likes,The novel the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,1
The author that the guards like,The authors that the guards like,ML-obj_rel_across_anim_all,0
The farmers that hate the taxi driver,The farmer that hates the taxi driver,ML-subj_rel_all,1
The managers that the chef loves,The manager that the chef loves,ML-obj_rel_across_anim_all,1
The surgeon the executives,The surgeon the executive,ML-obj_rel_no_comp_within_anim_all,1
The show by the assistant,The shows by the assistant,ML-prep_inanim_all,0
The movies the parent loves,The movie the parent loves,ML-obj_rel_no_comp_across_inanim_all,1
The author across from the dancer,The authors across from the dancer,ML-prep_anim_all,0
The surgeon that loves the guard,The surgeons that love the guard,ML-subj_rel_all,0
The shows from the assistants,The show from the assistants,ML-prep_inanim_all,1
The farmers near the assistants,The farmer near the assistants,ML-prep_anim_all,1
The author the parent loves,The authors the parent loves,ML-obj_rel_no_comp_across_anim_all,0
The senator behind the assistants,The senators behind the assistants,ML-prep_anim_all,0
The officers the guard loves,The officer the guard loves,ML-obj_rel_no_comp_across_anim_all,1
The picture from the skater,The pictures from the skater,ML-prep_inanim_all,0
The author near the minister,The authors near the minister,ML-prep_anim_all,0
The farmer the guards like,The farmers the guards like,ML-obj_rel_no_comp_across_anim_all,0
The novel that the parents hate,The novels that the parents hate,ML-obj_rel_across_inanim_all,0
The shows that the guards,The shows that the guard,ML-obj_rel_within_inanim_all,1
The surgeon the chefs like,The surgeons the chefs like,ML-obj_rel_no_comp_across_anim_all,0
The surgeons behind the chefs,The surgeon behind the chefs,ML-prep_anim_all,1
The movie that the guard likes,The movies that the guard likes,ML-obj_rel_across_inanim_all,0
The managers behind the guard,The manager behind the guard,ML-prep_anim_all,1
The senators that the skater hates,The senator that the skater hates,ML-obj_rel_across_anim_all,1
The consultant the chefs like,The consultants the chefs like,ML-obj_rel_no_comp_across_anim_all,0
The senators that the executives hate,The senator that the executives hate,ML-obj_rel_across_anim_all,1
The game that the assistants hate,The games that the assistants hate,ML-obj_rel_across_inanim_all,0
The senators that the skater admires,The senator that the skater admires,ML-obj_rel_across_anim_all,1
The picture the parent,The picture the parents,ML-obj_rel_no_comp_within_inanim_all,0
The surgeon next to the skaters,The surgeons next to the skaters,ML-prep_anim_all,0
The authors that hate the executive,The author that hates the executive,ML-subj_rel_all,1
The teachers that the parents like,The teacher that the parents like,ML-obj_rel_across_anim_all,1
The teacher that the assistants hate,The teachers that the assistants hate,ML-obj_rel_across_anim_all,0
The show that the architect admires,The shows that the architect admires,ML-obj_rel_across_inanim_all,0
The teachers the minister admires,The teacher the minister admires,ML-obj_rel_no_comp_across_anim_all,1
The customers near the dancers,The customer near the dancers,ML-prep_anim_all,1
The farmer next to the assistant,The farmers next to the assistant,ML-prep_anim_all,0
The movies that the assistants hate,The movie that the assistants hate,ML-obj_rel_across_inanim_all,1
The movie from the parents,The movies from the parents,ML-prep_inanim_all,0
The books that the chefs hate,The book that the chefs hate,ML-obj_rel_across_inanim_all,1
The consultants that hate the assistant,The consultant that hates the assistant,ML-subj_rel_all,1
The teachers the executives love,The teacher the executives love,ML-obj_rel_no_comp_across_anim_all,1
The pilot that hates the architect,The pilots that hate the architect,ML-subj_rel_all,0
The senator that hates the guard,The senators that hate the guard,ML-subj_rel_all,0
The customers the taxi drivers hate,The customer the taxi drivers hate,ML-obj_rel_no_comp_across_anim_all,1
The surgeons that like the assistant,The surgeon that likes the assistant,ML-subj_rel_all,1
The songs that the taxi drivers admire,The song that the taxi drivers admire,ML-obj_rel_across_inanim_all,1
The manager that the architects admire,The managers that the architects admire,ML-obj_rel_across_anim_all,0
The surgeon that loves the taxi driver,The surgeons that love the taxi driver,ML-subj_rel_all,0
The painting that the dancer loves,The paintings that the dancer loves,ML-obj_rel_across_inanim_all,0
The teachers near the taxi driver,The teacher near the taxi driver,ML-prep_anim_all,1
The teacher the dancer likes,The teachers the dancer likes,ML-obj_rel_no_comp_across_anim_all,0
The managers to the side of the taxi drivers,The manager to the side of the taxi drivers,ML-prep_anim_all,1
The farmers in front of the guards,The farmer in front of the guards,ML-prep_anim_all,1
The farmer that the taxi drivers hate,The farmers that the taxi drivers hate,ML-obj_rel_across_anim_all,0
The songs that the parents admire,The song that the parents admire,ML-obj_rel_across_inanim_all,1
The farmer the chef likes,The farmers the chef likes,ML-obj_rel_no_comp_across_anim_all,0
The consultant the skater likes,The consultants the skater likes,ML-obj_rel_no_comp_across_anim_all,0
The farmer that hates the guard,The farmers that hate the guard,ML-subj_rel_all,0
The surgeons the dancer hates,The surgeon the dancer hates,ML-obj_rel_no_comp_across_anim_all,1
The officers the executive loves,The officer the executive loves,ML-obj_rel_no_comp_across_anim_all,1
The songs the executive likes,The song the executive likes,ML-obj_rel_no_comp_across_inanim_all,1
The games that the guard loves,The game that the guard loves,ML-obj_rel_across_inanim_all,1
The surgeons that love the skaters,The surgeon that loves the skaters,ML-subj_rel_all,1
The officers that the taxi driver hates,The officer that the taxi driver hates,ML-obj_rel_across_anim_all,1
The book the guard loves,The books the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
The teachers that the ministers admire,The teacher that the ministers admire,ML-obj_rel_across_anim_all,1
The consultants that the chef likes,The consultant that the chef likes,ML-obj_rel_across_anim_all,1
The surgeons the taxi drivers hate,The surgeon the taxi drivers hate,ML-obj_rel_no_comp_across_anim_all,1
The authors that the architects hate,The author that the architects hate,ML-obj_rel_across_anim_all,1
The author that the skaters love,The authors that the skaters love,ML-obj_rel_across_anim_all,0
The painting that the executives love,The paintings that the executives love,ML-obj_rel_across_inanim_all,0
The consultant that likes the executive,The consultants that like the executive,ML-subj_rel_all,0
The picture the dancers like,The pictures the dancers like,ML-obj_rel_no_comp_across_inanim_all,0
The farmers that the parent likes,The farmer that the parent likes,ML-obj_rel_across_anim_all,1
The paintings that the skater,The paintings that the skaters,ML-obj_rel_within_inanim_all,0
The novels that the architect,The novels that the architects,ML-obj_rel_within_inanim_all,0
The authors across from the minister,The author across from the minister,ML-prep_anim_all,1
The songs that the executive admires,The song that the executive admires,ML-obj_rel_across_inanim_all,1
The surgeons that the taxi drivers hate,The surgeon that the taxi drivers hate,ML-obj_rel_across_anim_all,1
The teachers the parent,The teachers the parents,ML-obj_rel_no_comp_within_anim_all,0
The farmer that the assistant,The farmer that the assistants,ML-obj_rel_within_anim_all,0
The author the taxi driver,The author the taxi drivers,ML-obj_rel_no_comp_within_anim_all,0
The game the taxi driver admires,The games the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
The banker thought the customer,The banker thought the customers,ML-sent_comp_all,0
The consultants that the skater,The consultants that the skaters,ML-obj_rel_within_anim_all,0
The song the guards hate,The songs the guards hate,ML-obj_rel_no_comp_across_inanim_all,0
The manager in front of the parent,The managers in front of the parent,ML-prep_anim_all,0
The teachers that the assistant,The teachers that the assistants,ML-obj_rel_within_anim_all,0
The movie the assistants like,The movies the assistants like,ML-obj_rel_no_comp_across_inanim_all,0
The surgeon to the side of the taxi drivers,The surgeons to the side of the taxi drivers,ML-prep_anim_all,0
The pilot near the ministers,The pilots near the ministers,ML-prep_anim_all,0
The officer the chef admires,The officers the chef admires,ML-obj_rel_no_comp_across_anim_all,0
The customers the minister likes,The customer the minister likes,ML-obj_rel_no_comp_across_anim_all,1
The author behind the guards,The authors behind the guards,ML-prep_anim_all,0
The officers that love the architect,The officer that loves the architect,ML-subj_rel_all,1
The senators that the taxi drivers,The senators that the taxi driver,ML-obj_rel_within_anim_all,1
The teachers the skaters like,The teacher the skaters like,ML-obj_rel_no_comp_across_anim_all,1
The bankers said the teachers,The bankers said the teacher,ML-sent_comp_all,1
The game the taxi driver hates,The games the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
The show that the taxi drivers,The show that the taxi driver,ML-obj_rel_within_inanim_all,1
The senators the parents admire,The senator the parents admire,ML-obj_rel_no_comp_across_anim_all,1
The pilot that likes the parent,The pilots that like the parent,ML-subj_rel_all,0
The pilots the assistants like,The pilot the assistants like,ML-obj_rel_no_comp_across_anim_all,1
The pilot near the architects,The pilots near the architects,ML-prep_anim_all,0
The pilot behind the minister,The pilots behind the minister,ML-prep_anim_all,0
The teachers the chefs admire,The teacher the chefs admire,ML-obj_rel_no_comp_across_anim_all,1
The authors behind the dancers,The author behind the dancers,ML-prep_anim_all,1
The songs the guard,The songs the guards,ML-obj_rel_no_comp_within_inanim_all,0
The pilots that like the assistant,The pilot that likes the assistant,ML-subj_rel_all,1
The senator the taxi drivers,The senator the taxi driver,ML-obj_rel_no_comp_within_anim_all,1
The picture from the minister,The pictures from the minister,ML-prep_inanim_all,0
The officer near the chefs,The officers near the chefs,ML-prep_anim_all,0
The surgeon that hates the ministers,The surgeons that hate the ministers,ML-subj_rel_all,0
The pilot next to the guards,The pilots next to the guards,ML-prep_anim_all,0
The paintings that the guards hate,The painting that the guards hate,ML-obj_rel_across_inanim_all,1
The game the architect loves,The games the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
The consultants near the skaters,The consultant near the skaters,ML-prep_anim_all,1
The teachers across from the assistants,The teacher across from the assistants,ML-prep_anim_all,1
The customers across from the parent,The customer across from the parent,ML-prep_anim_all,1
The officers the assistants love,The officer the assistants love,ML-obj_rel_no_comp_across_anim_all,1
The song the taxi drivers like,The songs the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,0
The officer the taxi driver hates,The officers the taxi driver hates,ML-obj_rel_no_comp_across_anim_all,0
The officer that likes the guards,The officers that like the guards,ML-subj_rel_all,0
The pictures the assistant,The pictures the assistants,ML-obj_rel_no_comp_within_inanim_all,0
The authors behind the chefs,The author behind the chefs,ML-prep_anim_all,1
The customers the assistants like,The customer the assistants like,ML-obj_rel_no_comp_across_anim_all,1
The pilot near the architect,The pilots near the architect,ML-prep_anim_all,0
The game from the taxi driver,The games from the taxi driver,ML-prep_inanim_all,0
The game that the chefs,The game that the chef,ML-obj_rel_within_inanim_all,1
The shows that the parent hates,The show that the parent hates,ML-obj_rel_across_inanim_all,1
The senator behind the guard,The senators behind the guard,ML-prep_anim_all,0
The book the executives,The book the executive,ML-obj_rel_no_comp_within_inanim_all,1
The managers that the guard likes,The manager that the guard likes,ML-obj_rel_across_anim_all,1
The movies the chefs,The movies the chef,ML-obj_rel_no_comp_within_inanim_all,1
The customers across from the skaters,The customer across from the skaters,ML-prep_anim_all,1
The movie that the dancer,The movie that the dancers,ML-obj_rel_within_inanim_all,0
The song that the parents,The song that the parent,ML-obj_rel_within_inanim_all,1
The picture the skater likes,The pictures the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
The pilot that the taxi driver likes,The pilots that the taxi driver likes,ML-obj_rel_across_anim_all,0
The surgeon that the assistants like,The surgeons that the assistants like,ML-obj_rel_across_anim_all,0
The author that loves the assistants,The authors that love the assistants,ML-subj_rel_all,0
The farmer that the parent admires,The farmers that the parent admires,ML-obj_rel_across_anim_all,0
The farmer the taxi driver likes,The farmers the taxi driver likes,ML-obj_rel_no_comp_across_anim_all,0
The bankers knew the farmers,The bankers knew the farmer,ML-sent_comp_all,1
The surgeons that the minister likes,The surgeon that the minister likes,ML-obj_rel_across_anim_all,1
The picture that the executives hate,The pictures that the executives hate,ML-obj_rel_across_inanim_all,0
The painting that the architects,The painting that the architect,ML-obj_rel_within_inanim_all,1
The painting that the guards like,The paintings that the guards like,ML-obj_rel_across_inanim_all,0
The farmer that the guard admires,The farmers that the guard admires,ML-obj_rel_across_anim_all,0
The surgeons smile and,The surgeon smiles and,ML-vp_coord_all,1
The surgeon that likes the parent,The surgeons that like the parent,ML-subj_rel_all,0
The shows the guard likes,The show the guard likes,ML-obj_rel_no_comp_across_inanim_all,1
The picture that the taxi driver likes,The pictures that the taxi driver likes,ML-obj_rel_across_inanim_all,0
The customers that love the assistants,The customer that loves the assistants,ML-subj_rel_all,1
The pilots that the skater likes,The pilot that the skater likes,ML-obj_rel_across_anim_all,1
The managers across from the minister,The manager across from the minister,ML-prep_anim_all,1
The customer the executives like,The customers the executives like,ML-obj_rel_no_comp_across_anim_all,0
The show that the assistants hate,The shows that the assistants hate,ML-obj_rel_across_inanim_all,0
The games that the assistants admire,The game that the assistants admire,ML-obj_rel_across_inanim_all,1
The songs the assistant likes,The song the assistant likes,ML-obj_rel_no_comp_across_inanim_all,1
The book the architects love,The books the architects love,ML-obj_rel_no_comp_across_inanim_all,0
The songs the taxi drivers hate,The song the taxi drivers hate,ML-obj_rel_no_comp_across_inanim_all,1
The consultant that loves the taxi drivers,The consultants that love the taxi drivers,ML-subj_rel_all,0
The officers the architect,The officers the architects,ML-obj_rel_no_comp_within_anim_all,0
The teachers the taxi drivers,The teachers the taxi driver,ML-obj_rel_no_comp_within_anim_all,1
The customers the chefs,The customers the chef,ML-obj_rel_no_comp_within_anim_all,1
The consultant that hates the parent,The consultants that hate the parent,ML-subj_rel_all,0
